Month,Year,Temperature,Precipitation,Grain Height,Number of Deer,Number of Komodo Dragons
24289,2024,0,0,3,3,1
24290,2024,40.7094,9.29652,11.8808,3,1
24291,2024,52.4864,12.4542,11.2572,4,1
24292,2024,56.5318,14.7681,7.87881,5,2
24293,2024,73.8283,12.304,2.87893,6,2
24294,2024,69.9552,6.67666,0,5,3
24295,2024,87.9713,6.9986,0,4,2
24296,2024,75.9687,2.67247,0,3,2
24297,2024,71.8435,0,0,2,1
24298,2024,59.5367,0,0,1,1
24299,2024,49.831,2.17978,1.47652,0,0
24300,2024,43.4475,7.07993,11.2609,1,0
24301,2025,36.5615,7.6128,20.3322,2,0
24302,2025,43.4077,11.4091,28.8064,3,1
24303,2025,45.0093,14.7934,33.2267,4,1
24304,2025,55.4344,14.1655,30.1583,5,2
24305,2025,81.1915,11.1107,25.1583,6,2
24306,2025,70.3907,10.4599,19.1595,7,3
24307,2025,73.2536,6.87498,12.1597,8,3
24308,2025,67.0264,3.96001,4.16526,9,4
24309,2025,69.7643,3.14761,0,8,4
24310,2025,48.4917,1.20349,0,7,4
24311,2025,45.2551,4.64132,0,6,3
24312,2025,39.6969,3.83025,2.19341,5,3
24313,2026,50.1631,8.11386,1.31584,4,2
24314,2026,49.4713,9.34932,2.18841,3,2
24315,2026,49.4484,12.6705,3.76457,2,1
24316,2026,57.1356,12.4572,2.36402,3,1
24317,2026,80.068,10.5083,0,2,1
24318,2026,84.8892,9.86689,0,1,1
24319,2026,79.0613,4.92328,0,0,0
24320,2026,76.199,0.854417,1.05941e-05,0,0
24321,2026,71.3986,0.627615,0.000271268,0,0
24322,2026,60.9458,0.303954,0.0585515,0,0
24323,2026,53.0542,4.56143,1.68273,0,0
24324,2026,46.227,6.17044,8.7149,1,0
24325,2027,47.3852,10.3974,14.6592,2,0
24326,2027,49.9664,9.53765,17.094,3,1
24327,2027,55.5608,14.6243,14.9544,4,1
24328,2027,63.5377,12.4707,10.9987,5,2
24329,2027,71.7745,12.5904,5.9992,6,2
24330,2027,74.1198,9.45776,0,5,3
24331,2027,77.9508,3.91385,0,4,2
24332,2027,68.6204,1.99571,0,3,2
24333,2027,60.0724,0.71258,0,2,1
24334,2027,60.9744,0.463391,0,1,1
24335,2027,51.3625,1.8907,0.709574,0,0
24336,2027,50.6085,5.97856,4.02237,0,0
24337,2028,42.6997,8.59084,14.9595,1,0
24338,2028,52.5404,10.0404,16.4495,2,0
24339,2028,45.5432,13.7156,22.1368,3,1
24340,2028,59.1346,11.9683,19.4335,4,1
24341,2028,79.5491,10.1016,15.4335,5,2
24342,2028,75.5029,6.79557,10.4335,6,2
24343,2028,80.4703,5.11475,4.43353,7,3
24344,2028,66.461,3.49954,0,6,3
24345,2028,74.3754,2.7768,0,5,3
24346,2028,47.5463,3.19565,0,4,2
24347,2028,36.4173,1.34962,0.994117,3,2
24348,2028,41.141,6.01244,8.09762,2,1
24349,2029,50.4644,8.86545,10.0606,3,1
24350,2029,49.4685,11.9426,11.7751,4,1
24351,2029,52.0645,14.4544,10.0707,5,2
24352,2029,65.7838,14.466,5.0834,6,2
24353,2029,69.8043,10.0786,0,5,3
24354,2029,78.7548,9.77923,0,4,2
24355,2029,72.5523,5.50428,0,3,2
24356,2029,80.4045,1.01403,0,2,1
24357,2029,64.7689,0,0,1,1
24358,2029,62.8819,0.382451,0,0,0
24359,2029,49.5725,1.02149,2.14352,0,0
24360,2029,47.1059,4.41818,7.44722,1,0
